70000,60000
50000,135000
100000,600000
46000,250000
141000,450000
125000,140000
25000,550000
60000,240000
25000,850000
78000,365000
35000,260000
100000,250000
25000,1650000
70000,60000
50000,135000
100000,600000
46000,250000
141000,450000
125000,140000
25000,550000
60000,240000
25000,850000
78000,365000
35000,260000
100000,250000
25000,1650000
24000,585000
5000,1195000
33000,390000
28000,1964999
59000,1425000
4500,975000
175900,1190000
14500,930000
15000,525000
50000,1735000
33800,1375000
130400,450000
50000,900000
80000,1300000
10000,1400000
119000,850000
60000,229999
75800,1550000
78000,1250000
40000,625000
50000,1050000
74000,560000
64000,290000
60000,275000
120000,411000
79000,150000
15000,500000
80000,100000
18500,725000
10200,401000
29000,750000
28000,310000
46000,665000
70000,465000
60000,160000
35000,250000
90000,675000
80000,300000
80000,70000
73300,240000
92000,525000
66764,151000
100000,140000
350000,280000
230000,350000
60000,570000
31000,300000
39000,100000
120000,500000
166000,125000
110000,130000
35000,925000
60000,750000
54000,200000
63000,248000
120000,450000
120000,80000
76000,650000
80000,450000
25000,650000
11958,495000
20000,371000
9000,1025000
6500,8150000
70000,750000
120000,600000
58000,80000
62200,325000
34000,1470000
53000,350000
49000,2800000
15000,210000
50000,450000
53000,1150000
63500,210000
9800,4500000
13000,2750000
21000,1975000
29173,175000
48000,2500000
120000,628000
100000,600000
30000,399000
87000,750000
15000,750000
16000,315000
60000,600000
60000,100000
110000,250000
25000,350000
60000,780000
79350,434000
80000,690000
90000,555000
90000,120000
120000,500000
60000,165000
50000,95000
20000,550000
110000,100000
50000,100000
100000,500000
70000,800000
70000,840000
50000,490000
81000,125000
120000,400000
3600,1000000
14272,530000
49213,840000
40000,229999
40000,40000
80000,130000
70000,200000
70000,120000
57000,75000
120000,250000
30000,100000
3240,280000
5000,540000
10000,700000
100000,525000
80000,430000
